#,Gender?,College,"Whiskey Sour","Old Fashion","Whiskey Coke","Pickle Back","Tequila Sunrise",Margarita,Freddy Fudpucker,"Bacardi Cocktail","Rum and Coke",Mojito,Daiquiri,Malibu,"Blue Hawaii","Mai Tai",Gimlet,"Gin and Tonic","French 75","White Russian","Cran Vodka",Appletini,Cosmo,"Blue Guy",Screwdriver,"Moscow Mule","Lemon Drop","Sex on the Beach",Mimosa,"Long Island","SF Slide","Please add you favorite drinks we may have missed (seperate multiple values with a ',')","Start Date (UTC)","Submit Date (UTC)","Network ID"
5b3e53d04df85abb861e74cc5a8d5d47,Female,"College of Engineering",Dislike,Dislike,Dislike,"Don't Know","Don't Know",Like,"Don't Know","Don't Know",Dislike,Like,Like,Dislike,"Don't Know","Don't Know",Dislike,Dislike,Dislike,"Don't Know",Like,Like,Like,Like,Like,"Don't Know",Like,"Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:44:02","2016-10-05 18:45:42",f5f08b2c57
55e80b0dc7f0676e53f7710891f879b2,Male,Other,"Don't Know",Like,Like,"Don't Know",Like,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,"Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know",Like,Like,Like,,"2016-10-05 18:44:35","2016-10-05 18:46:44",9fc42dcdd4
c5fe1bb4c420e66b0dc63227dada86f0,Male,Other,Like,Like,Like,"Don't Know",Like,Dislike,"Don't Know","Don't Know",Like,"Don't Know",Like,Like,"Don't Know","Don't Know",Dislike,Dislike,Dislike,"Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know","Rum coke grenadine ","2016-10-05 18:45:44","2016-10-05 18:48:18",7aff277689
8d16a32978ab2e27a0e28ed9806a9ca7,Male,"College of Engineering","Don't Know",Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Like,,Like,Like,Like,Like,"Don't Know",Dislike,Dislike,Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know",Like,"Don't Know","Scotch and soda","2016-10-05 18:47:45","2016-10-05 18:49:46",b461b788d1
e558d2b751cb3465e663ed11d28f5ed5,Male,"College of Engineering","Don't Know",Like,Like,Dislike,"Don't Know",Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know",Like,Like,Dislike,Like,"Don't Know",Like,Like,"Don't Know","Don't Know",Like,Like,"Don't Know","Martini, Dark and Stormy","2016-10-05 18:48:43","2016-10-05 18:50:13",7100fd2cf4
cf80329a8aacf1cdc1ebaa95a636ed99,Male,"College of Engineering","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",,"Don't Know","Don't Know","Don't Know","Don't Know",Water,"2016-10-05 18:49:36","2016-10-05 18:51:05",6a26ff6d10
485c7b66cabc46899fbb0c34f6221f11,Male,Other,Like,Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Like,Like,Like,"Don't Know",Like,Like,"Don't Know",Dislike,Dislike,Dislike,Like,"Don't Know","Don't Know",Like,Like,Like,Like,"Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:48:08","2016-10-05 18:51:22",7532ea8f68
aabb0ae52f16c810e60593e5675ca999,Male,"College of Engineering",Dislike,Dislike,Dislike,Dislike,Like,Like,"Don't Know",Dislike,Like,Like,Like,"Don't Know","Don't Know","Don't Know",Like,Like,Like,"Don't Know",Like,Like,Dislike,Like,"Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:49:38","2016-10-05 18:51:22",d9be8fb41b
7ce66c5ec11b2e534f8032e4a35b2328,Female,Other,"Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know",Dislike,Like,Like,Like,"Don't Know","Don't Know","Don't Know",Like,"Don't Know",Dislike,"Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Tom Collins","2016-10-05 18:52:06","2016-10-05 18:54:24",f038c07851
5bd20a10d38ec12c1da957b64679b8a0,Male,Other,Dislike,Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Like,Like,Like,Like,"Don't Know",Like,,Dislike,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,"Don't Know",,"2016-10-05 18:52:30","2016-10-05 18:54:24",4597a77654
